 Found in both:
Item ID | Item Name                      | iLvl| WH Drp | AC Drp |  Diff  | AC RLT
  13626 | Human Head of Ras Frostwhisper |   1 |  5.50% | 100.00% | 94.50% | Direct
  12843 | Corruptor's Scourgestone       |   1 | 88.05% | 100.00% | 11.95% | Direct
  14047 | Runecloth                      |  50 |  8.76% | 15.00% |  6.24% | Direct
  13314 | Alanna's Embrace               |  62 |  0.72% |  4.00% |  3.28% | 35030
  16689 | Magister's Mantle              |  60 | 18.64% | 15.38% |  3.25% | 35030
  14503 | Death's Clutch                 |  62 | 14.08% | 15.38% |  1.30% | 35030
  14340 | Freezing Lich Robes            |  62 | 14.47% | 15.38% |  0.91% | 35030
  14525 | Boneclenched Gauntlets         |  62 | 14.77% | 15.38% |  0.62% | 35030
  14522 | Maelstrom Leggings             |  62 | 14.86% | 15.38% |  0.53% | 35030
  13521 | Recipe: Flask of Supreme Power |  60 |  4.43% |  4.00% |  0.43% | Direct
  13952 | Iceblade Hacker                |  62 | 15.04% | 15.38% |  0.35% | 35030
  18694 | Shadowy Mail Greaves           |  62 | 15.67% | 15.38% |  0.28% | 35030
  14502 | Frostbite Girdle               |  62 | 15.62% | 15.38% |  0.24% | 35030
  14487 | Bonechill Hammer               |  62 | 15.62% | 15.38% |  0.23% | 35030
  18696 | Intricately Runed Shield       |  62 | 15.50% | 15.38% |  0.12% | 35030
  18695 | Spellbound Tome                |  62 | 15.28% | 15.38% |  0.11% | 35030
  18693 | Shivery Handwraps              |  62 | 15.29% | 15.38% |  0.10% | 35030
--------------
17 common items found.

 Found in WH only:
    944 | Elemental Mage Staff          |  61 |  0.00 | WH | --
   2243 | Hand of Edward the Odd        |  62 |  0.00 | WH | --
   3944 | Twill Belt                    |  53 |  0.05 | WH | --
   3945 | Twill Boots                   |  55 |  0.06 | WH | --
   3946 | Twill Bracers                 |  54 |  0.08 | WH | --
   3947 | Twill Cloak                   |  52 |  0.06 | WH | --
   3948 | Twill Gloves                  |  58 |  0.06 | WH | --
   3949 | Twill Pants                   |  59 |  0.03 | WH | --
   3950 | Twill Shoulderpads            |  56 |  0.07 | WH | --
   3951 | Twill Vest                    |  57 |  0.04 | WH | --
   3969 | Smooth Leather Belt           |  55 |  0.04 | WH | --
